TimeStamp,Base1mean,Base1min
timestamp,m,m
08/11/2019 11:20,431,329
08/11/2019 11:25,347,302
08/11/2019 11:30,326,265
08/11/2019 11:35,252,219
08/11/2019 11:40,359,229
08/11/2019 11:45,413,229
08/11/2019 11:50,340,238
08/11/2019 11:55,518,265
08/11/2019 12:00,518,329
08/11/2019 12:05,527,256
08/11/2019 12:10,625,530
08/11/2019 12:15,671,375
08/11/2019 12:20,932,896
08/11/2019 12:25,981,485
08/11/2019 12:30,999,430
08/11/2019 12:35,1005,402
08/11/2019 12:40,1059,402
08/11/2019 12:45,1276,1106
08/11/2019 12:50,662,411
08/11/2019 12:55,609,457
08/11/2019 13:00,845,503
08/11/2019 13:05,874,521
08/11/2019 13:10,741,530
08/11/2019 13:15,614,558
08/11/2019 13:20,644,567
08/11/2019 13:25,627,549
08/11/2019 13:30,666,613
08/11/2019 13:35,682,604
08/11/2019 13:40,691,604
08/11/2019 13:45,678,604
08/11/2019 13:50,664,594
08/11/2019 13:55,781,613
08/11/2019 14:00,792,668
08/11/2019 14:05,798,695
08/11/2019 14:10,813,658
08/11/2019 14:15,766,677
08/11/2019 14:20,753,585
08/11/2019 14:25,732,604
08/11/2019 14:30,794,677
08/11/2019 14:35,838,805
08/11/2019 14:40,834,796
08/11/2019 14:45,893,832
08/11/2019 14:50,790,713
08/11/2019 14:55,781,677
08/11/2019 15:00,807,704
08/11/2019 15:05,875,823
08/11/2019 15:10,908,805
08/11/2019 15:15,957,933
08/11/2019 15:20,977,942
08/11/2019 15:25,1004,969
08/11/2019 15:30,996,924
08/11/2019 15:35,1006,978
08/11/2019 15:40,1008,978
08/11/2019 15:45,1022,896
08/11/2019 15:50,915,796
08/11/2019 15:55,1033,796
08/11/2019 16:00,1060,978
08/11/2019 16:05,1126,1061
08/11/2019 16:10,1212,1134
08/11/2019 16:15,1235,1207
08/11/2019 16:20,1215,1170
08/11/2019 16:25,1293,1207
08/11/2019 16:30,1313,1289
08/11/2019 16:35,1356,1308
08/11/2019 16:40,1370,1317
08/11/2019 16:45,1379,1280
08/11/2019 16:50,1330,1170
08/11/2019 16:55,1393,1161
08/11/2019 17:00,1159,850
08/11/2019 17:05,906,786
08/11/2019 17:10,1373,878
08/11/2019 17:15,1437,814
08/11/2019 17:20,995,768
08/11/2019 17:25,853,750
08/11/2019 17:30,930,759
08/11/2019 17:35,998,722
08/11/2019 17:40,803,722
08/11/2019 17:45,705,658
08/11/2019 17:50,635,585
08/11/2019 17:55,581,539
08/11/2019 18:00,535,475
08/11/2019 18:05,502,421
08/11/2019 18:10,939,430
08/11/2019 18:15,1403,1262
08/11/2019 18:20,1371,686
08/11/2019 18:25,1078,887
08/11/2019 18:30,1055,1006
08/11/2019 18:35,1070,1033
08/11/2019 18:40,1117,1088
08/11/2019 18:45,1111,1033
08/11/2019 18:50,1081,1024
08/11/2019 18:55,1146,1088
08/11/2019 19:00,1154,1079
08/11/2019 19:05,1066,430
08/11/2019 19:10,1227,439
08/11/2019 19:15,644,430
08/11/2019 19:20,489,411
08/11/2019 19:25,564,411
08/11/2019 19:30,469,421
08/11/2019 19:35,490,439
08/11/2019 19:40,484,430
08/11/2019 19:45,515,411
08/11/2019 19:50,545,466
08/11/2019 19:55,574,549
08/11/2019 20:00,565,503
08/11/2019 20:05,591,475
08/11/2019 20:10,553,466
08/11/2019 20:15,570,503
08/11/2019 20:20,550,439
08/11/2019 20:25,623,466
08/11/2019 20:30,553,402
08/11/2019 20:35,541,430
08/11/2019 20:40,515,421
08/11/2019 20:45,580,402
08/11/2019 20:50,604,503
08/11/2019 20:55,659,613
08/11/2019 21:00,578,448
08/11/2019 21:05,656,366
08/11/2019 21:10,1098,951
08/11/2019 21:15,1138,997
08/11/2019 21:20,1807,1015
08/11/2019 21:25,2165,2030
08/11/2019 21:30,2273,2121
08/11/2019 21:35,2302,439
08/11/2019 21:40,1655,384
08/11/2019 21:45,2114,329
08/11/2019 21:50,2540,2469
08/11/2019 21:55,2579,2487
08/11/2019 22:00,2651,2505
08/11/2019 22:05,2198,411
08/11/2019 22:10,2141,411
08/11/2019 22:15,2633,2542
08/11/2019 22:20,2583,448
08/11/2019 22:25,2664,430
08/11/2019 22:30,2530,466
08/11/2019 22:35,2635,485
08/11/2019 22:40,2697,2679
08/11/2019 22:45,2698,2679
08/11/2019 22:50,2715,2670
08/11/2019 22:55,2741,2725
08/11/2019 23:00,2726,2716
08/11/2019 23:05,,
08/11/2019 23:10,,
08/11/2019 23:15,,
08/11/2019 23:20,,
08/11/2019 23:25,,
08/11/2019 23:30,,
08/11/2019 23:35,,
08/11/2019 23:40,,
08/11/2019 23:45,,
08/11/2019 23:50,,
08/11/2019 23:55,,
09/11/2019 00:00,,
09/11/2019 00:05,,
09/11/2019 00:10,,
09/11/2019 00:15,,
09/11/2019 00:20,7491,7416
09/11/2019 00:25,7269,7105
09/11/2019 00:30,7286,7132
09/11/2019 00:35,7331,7324
09/11/2019 00:40,,
09/11/2019 00:45,7243,7141
09/11/2019 00:50,7139,7123
09/11/2019 00:55,6863,6456
09/11/2019 01:00,7016,6977
09/11/2019 01:05,,
09/11/2019 01:10,,
09/11/2019 01:15,,
09/11/2019 01:20,,
09/11/2019 01:25,,
09/11/2019 01:30,,
09/11/2019 01:35,,
09/11/2019 01:40,,
09/11/2019 01:45,,
09/11/2019 01:50,,
09/11/2019 01:55,,
09/11/2019 02:00,,
09/11/2019 02:05,,
09/11/2019 02:10,,
09/11/2019 02:15,,
09/11/2019 02:20,,
09/11/2019 02:25,,
09/11/2019 02:30,,
09/11/2019 02:35,,
09/11/2019 02:40,,
09/11/2019 02:45,,
09/11/2019 02:50,,
09/11/2019 02:55,6660,6657
09/11/2019 03:00,6672,6648
09/11/2019 03:05,6651,6456
09/11/2019 03:10,6815,6803
09/11/2019 03:15,,
09/11/2019 03:20,7041,7041
09/11/2019 03:25,6825,6812
09/11/2019 03:30,6686,6666
09/11/2019 03:35,,
09/11/2019 03:40,,
09/11/2019 03:45,,
09/11/2019 03:50,,
09/11/2019 03:55,,
09/11/2019 04:00,,
09/11/2019 04:05,,
09/11/2019 04:10,,
09/11/2019 04:15,,
09/11/2019 04:20,,
09/11/2019 04:25,,
09/11/2019 04:30,,
09/11/2019 04:35,,
09/11/2019 04:40,,
09/11/2019 04:45,,
09/11/2019 04:50,,
09/11/2019 04:55,,
09/11/2019 05:00,,
09/11/2019 05:05,,
09/11/2019 05:10,,
09/11/2019 05:15,,
09/11/2019 05:20,,
09/11/2019 05:25,,
09/11/2019 05:30,,
09/11/2019 05:35,,
09/11/2019 05:40,,
09/11/2019 05:45,,
09/11/2019 05:50,,
09/11/2019 05:55,,
09/11/2019 06:00,401,366
09/11/2019 06:05,367,302
09/11/2019 06:10,370,329
09/11/2019 06:15,539,539
09/11/2019 06:20,,
09/11/2019 06:25,415,384
09/11/2019 06:30,358,311
09/11/2019 06:35,369,293
09/11/2019 06:40,,
09/11/2019 06:45,,
09/11/2019 06:50,,
09/11/2019 06:55,,
09/11/2019 07:00,4187,4179
09/11/2019 07:05,4185,4142
09/11/2019 07:10,4228,4215
09/11/2019 07:15,,
09/11/2019 07:20,5933,5587
09/11/2019 07:25,5759,5541
09/11/2019 07:30,5533,5404
09/11/2019 07:35,5335,5294
09/11/2019 07:40,,
09/11/2019 07:45,5340,5276
09/11/2019 07:50,5406,5029
09/11/2019 07:55,5447,5075
09/11/2019 08:00,5542,5111
09/11/2019 08:05,1903,37
09/11/2019 08:10,54,37
09/11/2019 08:15,51,46
09/11/2019 08:20,48,46
09/11/2019 08:25,46,46
09/11/2019 08:30,46,46
09/11/2019 08:35,46,37
09/11/2019 08:40,44,37
09/11/2019 08:45,44,37
09/11/2019 08:50,46,37
09/11/2019 08:55,50,46
09/11/2019 09:00,50,46
09/11/2019 09:05,55,37
09/11/2019 09:10,55,37
09/11/2019 09:15,54,37
09/11/2019 09:20,53,46
09/11/2019 09:25,54,46
09/11/2019 09:30,56,46
09/11/2019 09:35,54,46
09/11/2019 09:40,52,46
09/11/2019 09:45,53,46
09/11/2019 09:50,53,46
09/11/2019 09:55,47,46
09/11/2019 10:00,47,46
09/11/2019 10:05,53,46
09/11/2019 10:10,55,46
09/11/2019 10:15,59,55
09/11/2019 10:20,52,37
09/11/2019 10:25,116,37
09/11/2019 10:30,1041,46
09/11/2019 10:35,3114,2981
09/11/2019 10:40,2696,55
09/11/2019 10:45,3005,2533
09/11/2019 10:50,845,64
09/11/2019 10:55,2670,64
09/11/2019 11:00,2940,91
09/11/2019 11:05,2229,82
09/11/2019 11:10,2779,814
09/11/2019 11:15,2496,2368
09/11/2019 11:20,2381,2368
09/11/2019 11:25,2362,2341
09/11/2019 11:30,2393,2368
09/11/2019 11:35,2418,1710
09/11/2019 11:40,1696,1628
09/11/2019 11:45,1570,1518
09/11/2019 11:50,1535,1518
09/11/2019 11:55,1544,1536
09/11/2019 12:00,1559,1536
09/11/2019 12:05,1580,1545
09/11/2019 12:10,1546,1097
09/11/2019 12:15,1198,759
09/11/2019 12:20,993,777
09/11/2019 12:25,1021,777
09/11/2019 12:30,923,750
09/11/2019 12:35,844,686
09/11/2019 12:40,1004,448
09/11/2019 12:45,986,805
09/11/2019 12:50,749,604
09/11/2019 12:55,672,585
09/11/2019 13:00,580,466
09/11/2019 13:05,567,466
09/11/2019 13:10,561,457
09/11/2019 13:15,826,384
09/11/2019 13:20,664,393
09/11/2019 13:25,692,421
09/11/2019 13:30,791,457
09/11/2019 13:35,690,430
09/11/2019 13:40,505,393
09/11/2019 13:45,659,174
09/11/2019 13:50,614,110
09/11/2019 13:55,481,174
09/11/2019 14:00,609,119
09/11/2019 14:05,675,119
09/11/2019 14:10,749,110
09/11/2019 14:15,462,137
09/11/2019 14:20,580,146
09/11/2019 14:25,777,174
09/11/2019 14:30,880,485
09/11/2019 14:35,840,448
09/11/2019 14:40,633,155
09/11/2019 14:45,559,247
09/11/2019 14:50,221,137
09/11/2019 14:55,187,119
09/11/2019 15:00,432,110
09/11/2019 15:05,695,110
09/11/2019 15:10,347,101
09/11/2019 15:15,221,110
09/11/2019 15:20,164,91
09/11/2019 15:25,321,128
09/11/2019 15:30,304,165
09/11/2019 15:35,175,137
09/11/2019 15:40,265,146
09/11/2019 15:45,273,165
09/11/2019 15:50,701,137
09/11/2019 15:55,958,229
09/11/2019 16:00,995,311
09/11/2019 16:05,793,256
09/11/2019 16:10,800,777
09/11/2019 16:15,683,265
09/11/2019 16:20,768,265
09/11/2019 16:25,687,668
09/11/2019 16:30,635,585
09/11/2019 16:35,572,375
09/11/2019 16:40,517,329
09/11/2019 16:45,441,256
09/11/2019 16:50,431,238
09/11/2019 16:55,335,183
09/11/2019 17:00,323,183
09/11/2019 17:05,237,174
09/11/2019 17:10,210,155
09/11/2019 17:15,186,128
09/11/2019 17:20,335,146
09/11/2019 17:25,231,137
09/11/2019 17:30,245,128
